instance,solution,execution_time
100_20_01,1907561,200.6034059524536
100_20_02,1875596,269.2829067707062
100_20_03,1765352,260.69193506240845
100_20_04,2045969,232.50349497795105
100_20_05,1590027,267.54369497299194
100_20_06,1733755,239.4099371433258
100_20_07,1862529,291.5475289821625
100_20_08,1820121,347.57238507270813
100_20_09,1992943,230.4919469356537
100_20_10,1731935,257.8026010990143
100_20_11,1885421,294.5224697589874
100_20_12,1793697,251.495689868927
100_20_13,1798709,233.58514595031738
100_20_14,1787550,258.46662402153015
100_20_15,1500998,249.09935522079468
100_20_16,1924179,328.91262912750244
100_20_17,1835024,304.70039892196655
100_20_18,1890756,239.57445096969604
100_20_19,1766882,264.91532611846924
100_20_20,1867999,234.56556725502014
100_20_21,1810534,225.32622003555298
100_20_22,1847372,228.69679427146912
100_20_23,1852993,261.90841794013977
100_20_24,1787222,282.5188789367676
100_20_25,1838777,225.37102007865906
100_20_26,1650972,225.60130906105042
100_20_27,1921903,246.56150889396667
100_20_28,1810159,265.2646429538727
100_20_29,2071137,213.7523901462555
100_20_30,1854603,234.9153881072998
50_20_01,619742,13.626285791397095
50_20_02,650537,19.321996927261353
50_20_03,604855,18.585774183273315
50_20_04,689829,14.396785974502563
50_20_05,671005,17.466726779937744
50_20_06,669988,14.396108150482178
50_20_07,597332,11.746665954589844
50_20_08,559934,14.030266046524048
50_20_09,608503,10.990046977996826
50_20_10,618697,17.0294930934906
50_20_11,620243,17.06826615333557
50_20_12,608844,14.77102518081665
50_20_13,579798,11.754194021224976
50_20_14,594758,13.623350858688354
50_20_15,615994,12.85783863067627
50_20_16,569054,15.156505823135376
50_20_17,677887,14.012839317321777
50_20_18,655941,14.015294075012207
50_20_19,479897,18.53255009651184
50_20_20,598693,16.647396087646484
50_20_21,643635,11.724458932876587
50_20_22,685628,13.500931024551392
50_20_23,628367,12.372898817062378
50_20_24,558918,18.387243032455444
50_20_25,609435,15.001870155334473
50_20_26,614151,17.60291814804077
50_20_27,588045,13.496464967727661
50_20_28,581584,13.86986780166626
50_20_29,570577,13.872700929641724
50_20_30,524545,20.23259687423706
