instance,solution,execution_time
100_20_01,1872050,504.41285490989685
100_20_02,1882086,484.2750279903412
100_20_03,1716587,612.4433200359344
100_20_04,1992452,573.8262541294098
100_20_05,1597667,523.1527528762817
100_20_06,1729081,563.5030462741852
100_20_07,1824569,595.867448091507
100_20_08,1830361,621.5082018375397
100_20_09,1920036,485.4804651737213
100_20_10,1722160,600.6336779594421
100_20_11,1909101,600.9771008491516
100_20_12,1763108,521.5668721199036
100_20_13,1778291,527.2317450046539
100_20_14,1743905,608.0887050628662
100_20_15,1499894,576.8486199378967
100_20_16,1918914,579.0705778598785
100_20_17,1843240,603.4237341880798
100_20_18,1881290,520.7890250682831
100_20_19,1734316,607.8611371517181
100_20_20,1857943,620.1755938529968
100_20_21,1800210,457.3480713367462
100_20_22,1802152,565.5523838996887
100_20_23,1850071,547.7909710407257
100_20_24,1748709,716.0630288124084
100_20_25,1779510,535.6210701465607
100_20_26,1623350,547.8144981861115
100_20_27,1916532,613.9705171585083
100_20_28,1805117,494.1493058204651
100_20_29,2090560,445.9216408729553
100_20_30,1838590,476.30740189552307
50_20_01,615987,30.314663887023926
50_20_02,639634,34.093307971954346
50_20_03,608099,35.652480125427246
50_20_04,676690,41.69840621948242
50_20_05,665512,37.322689056396484
50_20_06,668584,36.34855008125305
50_20_07,593269,32.59577298164368
50_20_08,545803,36.42983794212341
50_20_09,592323,34.89206886291504
50_20_10,614212,31.05064606666565
50_20_11,624867,27.276202917099
50_20_12,607378,31.75911784172058
50_20_13,560353,29.532787084579468
50_20_14,592826,29.525102853775024
50_20_15,624239,31.070778131484985
50_20_16,557263,33.361552000045776
50_20_17,659307,32.61181092262268
50_20_18,642887,34.098365783691406
50_20_19,471065,40.88224387168884
50_20_20,576587,35.59534478187561
50_20_21,634553,37.100029945373535
50_20_22,669911,34.50524306297302
50_20_23,618706,34.439303159713745
50_20_24,563224,31.48751211166382
50_20_25,614036,28.483538150787354
50_20_26,622008,31.435940980911255
50_20_27,579229,40.48241996765137
50_20_28,556357,44.977832078933716
50_20_29,552315,38.24534606933594
50_20_30,524484,32.94078969955444
