instance,solution,execution_time
100_20_01,2408671,4.0029590129852295
100_20_02,2375460,5.442920207977295
100_20_03,2431871,8.448332071304321
100_20_04,2600721,4.193658113479614
100_20_05,2140758,3.282230854034424
100_20_06,2222319,4.462295055389404
100_20_07,2623819,4.946944952011108
100_20_08,2538759,2.9681360721588135
100_20_09,2507447,4.0590150356292725
100_20_10,2454583,4.045872211456299
100_20_11,2518161,3.5694499015808105
100_20_12,2486568,4.966819763183594
100_20_13,2394083,6.262562036514282
100_20_14,2415132,3.8705971240997314
100_20_15,2061724,3.381477117538452
100_20_16,2591950,3.818779945373535
100_20_17,2462827,4.316941738128662
100_20_18,2539585,3.188288927078247
100_20_19,2455584,3.89530611038208
100_20_20,2393694,4.328768014907837
100_20_21,2324586,4.684535980224609
100_20_22,2329618,6.560125350952148
100_20_23,2520882,4.8188910484313965
100_20_24,2490557,4.683718919754028
100_20_25,2492613,4.50882625579834
100_20_26,2199394,4.256819009780884
100_20_27,2770987,4.373539209365845
100_20_28,2449305,3.7797799110412598
100_20_29,2663920,8.6334969997406
100_20_30,2406322,3.29419207572937
50_20_01,769221,0.5443902015686035
50_20_02,806340,0.4229471683502197
50_20_03,814150,0.5772929191589355
50_20_04,874772,0.6065669059753418
50_20_05,878427,0.7006149291992188
50_20_06,814612,0.5605018138885498
50_20_07,753013,0.40648603439331055
50_20_08,712027,0.45356297492980957
50_20_09,757611,0.4989452362060547
50_20_10,840604,0.42038917541503906
50_20_11,778392,0.4844937324523926
50_20_12,768772,0.35994529724121094
50_20_13,705487,0.34342408180236816
50_20_14,784158,0.42095208168029785
50_20_15,767105,0.42346978187561035
50_20_16,729626,0.40749502182006836
50_20_17,792713,0.7001519203186035
50_20_18,820249,0.49828672409057617
50_20_19,660638,0.6388170719146729
50_20_20,759593,0.5905308723449707
50_20_21,776689,0.45196008682250977
50_20_22,808322,0.5244088172912598
50_20_23,739134,0.31036806106567383
50_20_24,709445,0.6318070888519287
50_20_25,795154,0.7372138500213623
50_20_26,773510,0.7393319606781006
50_20_27,787918,0.35676121711730957
50_20_28,721886,0.6012530326843262
50_20_29,714367,0.5398879051208496
50_20_30,663233,0.4935948848724365
