instance,solution,execution_time
100_20_01,1814599,1099.8177819252014
100_20_02,1841572,1140.4600551128387
100_20_03,1710994,1155.6128039360046
100_20_04,1976625,923.165424823761
100_20_05,1583847,996.0960199832916
100_20_06,1690879,1218.717025756836
100_20_07,1805856,1182.838437795639
100_20_08,1794260,1160.3328802585602
100_20_09,1866273,912.7832539081573
100_20_10,1696748,981.6389482021332
100_20_11,1847386,1203.2190260887146
100_20_12,1737421,1392.394387960434
100_20_13,1729372,1193.5222342014313
100_20_14,1736276,1246.3079688549042
100_20_15,1471729,1106.3961951732635
100_20_16,1887633,1005.3314669132233
100_20_17,1797030,1235.583244085312
100_20_18,1841007,1132.2784988880157
100_20_19,1702245,1077.06627202034
100_20_20,1827194,1051.3110518455505
100_20_21,1733746,920.6762781143188
100_20_22,1778108,953.199709892273
100_20_23,1800976,1117.8305048942566
100_20_24,1722321,1226.6878881454468
100_20_25,1742219,1243.1019048690796
100_20_26,1590623,1205.8400847911835
100_20_27,1891086,1267.3060069084167
100_20_28,1751534,1029.311526298523
100_20_29,2018179,1069.5135190486908
100_20_30,1796631,1057.0362770557404
50_20_01,606557,42.41311717033386
50_20_02,632151,48.83500909805298
50_20_03,602926,46.19905710220337
50_20_04,680977,45.01849293708801
50_20_05,665980,46.51223969459534
50_20_06,652393,44.61183476448059
50_20_07,581555,35.826765060424805
50_20_08,546527,34.38481092453003
50_20_09,590337,37.912928104400635
50_20_10,612569,43.32050895690918
50_20_11,620333,33.30071997642517
50_20_12,590874,58.18769407272339
50_20_13,562128,29.14329504966736
50_20_14,582865,45.77251410484314
50_20_15,604003,42.021909952163696
50_20_16,558639,54.96315288543701
50_20_17,660049,46.54757237434387
50_20_18,641143,64.43075513839722
50_20_19,470347,58.43533182144165
50_20_20,576203,55.69836187362671
50_20_21,631268,40.60775899887085
50_20_22,658242,37.51666879653931
50_20_23,619322,34.64504313468933
50_20_24,561939,33.48865795135498
50_20_25,601553,53.53774571418762
50_20_26,610377,32.626996994018555
50_20_27,574101,40.94256925582886
50_20_28,568452,33.48144888877869
50_20_29,551130,55.60574221611023
50_20_30,514800,42.953768253326416
