instance,solution,execution_time
100_20_01,2375020,5.390013933181763
100_20_02,2394022,4.6000049114227295
100_20_03,2455775,4.0901429653167725
100_20_04,2554198,4.1005330085754395
100_20_05,2122238,3.6791088581085205
100_20_06,2301096,3.40913987159729
100_20_07,2595029,4.880247116088867
100_20_08,2502122,4.359135150909424
100_20_09,2478077,5.224610090255737
100_20_10,2452846,3.677182197570801
100_20_11,2510608,2.345737934112549
100_20_12,2451455,8.102688312530518
100_20_13,2334756,8.44832468032837
100_20_14,2399493,3.143028974533081
100_20_15,1969174,4.218859910964966
100_20_16,2614748,4.052638053894043
100_20_17,2440802,4.615976095199585
100_20_18,2496200,4.644587993621826
100_20_19,2459088,3.319614887237549
100_20_20,2400533,3.3552939891815186
100_20_21,2319936,6.396005153656006
100_20_22,2299068,5.354167699813843
100_20_23,2489429,3.3659870624542236
100_20_24,2482148,6.3333330154418945
100_20_25,2462275,3.586793899536133
100_20_26,2291804,3.385936975479126
100_20_27,2766483,2.4998388290405273
100_20_28,2420472,4.392261028289795
100_20_29,2681321,5.799106121063232
100_20_30,2496724,2.653093099594116
50_20_01,798079,0.38675975799560547
50_20_02,799444,0.4219238758087158
50_20_03,805379,0.4745941162109375
50_20_04,904824,0.499553918838501
50_20_05,865235,0.44236207008361816
50_20_06,812651,0.4143331050872803
50_20_07,755640,0.24713492393493652
50_20_08,684019,0.7676451206207275
50_20_09,757228,0.6910479068756104
50_20_10,813586,0.5646779537200928
50_20_11,803877,0.5444760322570801
50_20_12,759866,0.3299229145050049
50_20_13,699427,0.3070840835571289
50_20_14,761034,0.44503092765808105
50_20_15,780424,0.4448378086090088
50_20_16,720767,0.46003293991088867
50_20_17,794603,0.3817563056945801
50_20_18,833267,0.32945919036865234
50_20_19,657578,0.34664392471313477
50_20_20,755486,0.5817420482635498
50_20_21,789847,0.47264814376831055
50_20_22,797295,0.7175779342651367
50_20_23,736196,0.5061519145965576
50_20_24,712417,0.4291071891784668
50_20_25,795121,0.576894998550415
50_20_26,762434,0.6960780620574951
50_20_27,760375,0.4391608238220215
50_20_28,738771,0.3383941650390625
50_20_29,736577,0.4976210594177246
50_20_30,662343,0.42476820945739746
