instance,solution,execution_time
100_20_01,1845234,59.19935607910156
100_20_02,1860042,56.30450987815857
100_20_03,1721012,62.35387706756592
100_20_04,2011889,41.60234522819519
100_20_05,1598541,86.39036107063293
100_20_06,1715744,53.413207054138184
100_20_07,1844222,47.213440895080566
100_20_08,1801845,74.9522397518158
100_20_09,1911077,74.9840817451477
100_20_10,1723451,32.511534214019775
100_20_11,1896240,38.581507205963135
100_20_12,1756633,62.760892152786255
100_20_13,1763863,41.57151532173157
100_20_14,1768605,59.89161801338196
100_20_15,1503622,47.681803941726685
100_20_16,1914988,53.97007703781128
100_20_17,1813377,75.28787422180176
100_20_18,1896268,53.27478504180908
100_20_19,1759250,11.114667892456055
100_20_20,1853848,47.25307106971741
100_20_21,1787796,44.24111008644104
100_20_22,1807884,62.29323387145996
100_20_23,1854905,47.33288788795471
100_20_24,1742005,86.24839305877686
100_20_25,1783862,20.143378257751465
100_20_26,1632164,62.346696853637695
100_20_27,1922398,68.32082796096802
100_20_28,1792323,113.65233302116394
100_20_29,2077695,44.317481994628906
100_20_30,1832161,50.36280965805054
50_20_01,616002,0.652285099029541
50_20_02,638887,4.8196611404418945
50_20_03,613349,0.6524579524993896
50_20_04,691747,2.1838560104370117
50_20_05,667732,6.713224172592163
50_20_06,660114,6.729294061660767
50_20_07,587808,1.4126310348510742
50_20_08,541600,2.9289779663085938
50_20_09,594142,2.549269914627075
50_20_10,613979,3.308439016342163
50_20_11,618171,2.5498223304748535
50_20_12,599759,1.0303287506103516
50_20_13,567575,7.471228837966919
50_20_14,587443,4.809056043624878
50_20_15,613352,4.431941986083984
50_20_16,561110,5.580127239227295
50_20_17,665680,2.164083957672119
50_20_18,643953,3.3015499114990234
50_20_19,474591,3.679900884628296
50_20_20,583651,2.9176769256591797
50_20_21,644476,1.030869960784912
50_20_22,663867,4.393937826156616
50_20_23,612133,6.654263019561768
50_20_24,570600,3.281409978866577
50_20_25,607425,5.512578248977661
50_20_26,609695,3.267388105392456
50_20_27,578075,3.2654380798339844
50_20_28,565197,2.1503169536590576
50_20_29,561471,4.3994529247283936
50_20_30,523260,3.642972707748413
