instance,solution,execution_time
100_20_01,1841733,92.26813387870789
100_20_02,1844177,146.36950874328613
100_20_03,1710377,164.78912115097046
100_20_04,1988201,166.12238907814026
100_20_05,1573492,170.61677408218384
100_20_06,1706546,92.55784511566162
100_20_07,1815190,200.7894992828369
100_20_08,1798842,172.58981204032898
100_20_09,1896771,141.86650109291077
100_20_10,1703455,141.9334683418274
100_20_11,1882134,117.53140902519226
100_20_12,1722556,202.5425741672516
100_20_13,1752918,129.56292414665222
100_20_14,1765016,117.73170113563538
100_20_15,1501537,117.58682107925415
100_20_16,1888359,233.95604419708252
100_20_17,1812047,124.04381012916565
100_20_18,1869216,158.748850107193
100_20_19,1721923,188.98013019561768
100_20_20,1852163,128.56738305091858
100_20_21,1734645,206.55723595619202
100_20_22,1782273,236.98302006721497
100_20_23,1833881,158.62907075881958
100_20_24,1734255,230.84773516654968
100_20_25,1760246,128.50746512413025
100_20_26,1597788,261.14322686195374
100_20_27,1920572,116.55663728713989
100_20_28,1771378,213.30027318000793
100_20_29,2063390,110.82840514183044
100_20_30,1818074,129.26643300056458
50_20_01,611917,7.85542106628418
50_20_02,635048,13.92668104171753
50_20_03,608764,7.102017879486084
50_20_04,681576,7.105283737182617
50_20_05,668382,13.934072017669678
50_20_06,652945,12.477869033813477
50_20_07,578904,13.154885053634644
50_20_08,542420,6.336285829544067
50_20_09,587862,9.369715929031372
50_20_10,613812,4.8297858238220215
50_20_11,615524,12.399902820587158
50_20_12,595915,8.59571099281311
50_20_13,562339,14.690556764602661
50_20_14,583664,9.339349746704102
50_20_15,603743,12.384613037109375
50_20_16,560613,8.688662052154541
50_20_17,659428,7.071219205856323
50_20_18,645595,7.849466800689697
50_20_19,472976,15.446505069732666
50_20_20,574626,10.114980697631836
50_20_21,623387,16.163519859313965
50_20_22,663761,5.522010087966919
50_20_23,611527,10.767108917236328
50_20_24,563387,8.515371799468994
50_20_25,603865,9.268399000167847
50_20_26,608333,18.989411115646362
50_20_27,575392,8.524949789047241
50_20_28,557705,7.770815134048462
50_20_29,558629,8.52107286453247
50_20_30,513992,10.763031959533691
