instance,solution,execution_time
100_20_01,1861380,2.3722469806671143
100_20_02,1872882,2.3746449947357178
100_20_03,1754127,2.505039930343628
100_20_04,2020637,2.514930248260498
100_20_05,1620783,2.553447961807251
100_20_06,1733575,2.5004539489746094
100_20_07,1858520,2.619668960571289
100_20_08,1832773,2.5282509326934814
100_20_09,1943186,3.0207600593566895
100_20_10,1736909,2.3433949947357178
100_20_11,1911880,2.525301933288574
100_20_12,1772760,2.401071310043335
100_20_13,1781784,2.54612398147583
100_20_14,1786624,2.4045989513397217
100_20_15,1513447,2.527311325073242
100_20_16,1932581,2.5378811359405518
100_20_17,1856652,2.596461772918701
100_20_18,1917358,2.5069570541381836
100_20_19,1760403,2.136427164077759
100_20_20,1874273,2.384813070297241
100_20_21,1795109,2.62534499168396
100_20_22,1820415,2.3815770149230957
100_20_23,1870555,2.5052578449249268
100_20_24,1778055,2.5039710998535156
100_20_25,1789791,2.381643056869507
100_20_26,1647057,2.320873975753784
100_20_27,1960250,2.38116192817688
100_20_28,1822294,2.630568027496338
100_20_29,2088428,2.7161691188812256
100_20_30,1840390,2.205075979232788
50_20_01,616002,0.28853678703308105
50_20_02,649396,0.3210608959197998
50_20_03,613349,0.28913187980651855
50_20_04,691920,0.32241106033325195
50_20_05,696543,0.36829304695129395
50_20_06,675913,0.33550214767456055
50_20_07,587808,0.3215157985687256
50_20_08,547398,0.2883031368255615
50_20_09,594279,0.32035088539123535
50_20_10,619013,0.33783507347106934
50_20_11,619327,0.352963924407959
50_20_12,599970,0.3051900863647461
50_20_13,581879,0.3527259826660156
50_20_14,594779,0.39792799949645996
50_20_15,619727,0.3209860324859619
50_20_16,565937,0.3219797611236572
50_20_17,666391,0.3202221393585205
50_20_18,648133,0.3378150463104248
50_20_19,480111,0.30511903762817383
50_20_20,584512,0.30518507957458496
50_20_21,644590,0.2886972427368164
50_20_22,672033,0.37894487380981445
50_20_23,623370,0.3486189842224121
50_20_24,570962,0.3481278419494629
50_20_25,612401,0.31694579124450684
50_20_26,621958,0.3476898670196533
50_20_27,581310,0.31751179695129395
50_20_28,565683,0.30803823471069336
50_20_29,572564,0.2860720157623291
50_20_30,528858,0.2861759662628174
