instance,solution,execution_time
100_20_01,1841685,59.38574004173279
100_20_02,1853325,97.36138486862183
100_20_03,1717060,90.98495674133301
100_20_04,2001547,50.14098811149597
100_20_05,1605878,71.01561403274536
100_20_06,1717737,47.18649220466614
100_20_07,1841406,54.102192878723145
100_20_08,1803533,62.92434096336365
100_20_09,1894310,118.56027221679688
100_20_10,1726517,35.67293095588684
100_20_11,1882893,48.6733500957489
100_20_12,1768318,88.12619805335999
100_20_13,1763725,37.92835092544556
100_20_14,1770530,64.98367381095886
100_20_15,1500577,36.750365018844604
100_20_16,1886855,104.51738595962524
100_20_17,1840702,87.92303514480591
100_20_18,1873291,32.89986491203308
100_20_19,1759250,5.394112825393677
100_20_20,1855337,43.96677803993225
100_20_21,1786989,34.10559010505676
100_20_22,1793708,150.59169626235962
100_20_23,1839433,118.70580101013184
100_20_24,1722336,133.16691517829895
100_20_25,1770067,24.484709978103638
100_20_26,1620038,105.30737113952637
100_20_27,1928315,29.780187845230103
100_20_28,1783342,124.92919707298279
100_20_29,2059206,77.51348209381104
100_20_30,1828517,42.45544481277466
50_20_01,616002,0.6524307727813721
50_20_02,638287,2.930340051651001
50_20_03,613349,0.6527659893035889
50_20_04,691747,2.1126110553741455
50_20_05,675712,6.481339931488037
50_20_06,665682,1.5770940780639648
50_20_07,582314,3.312687873840332
50_20_08,540051,2.1608221530914307
50_20_09,594102,2.980648994445801
50_20_10,613450,3.4027140140533447
50_20_11,618902,1.5701801776885986
50_20_12,599759,0.8676609992980957
50_20_13,565246,7.273818731307983
50_20_14,587634,3.788728952407837
50_20_15,609502,3.9233789443969727
50_20_16,564236,3.2581369876861572
50_20_17,658853,2.3707058429718018
50_20_18,645792,2.7430460453033447
50_20_19,474614,2.742347002029419
50_20_20,583618,4.1968488693237305
50_20_21,644476,0.9277582168579102
50_20_22,661875,6.050807237625122
50_20_23,612961,5.779850959777832
50_20_24,570600,2.4701759815216064
50_20_25,604263,7.040993928909302
50_20_26,616423,1.654632329940796
50_20_27,579455,3.9054739475250244
50_20_28,565197,2.5970568656921387
50_20_29,565640,5.815912246704102
50_20_30,525470,2.2120978832244873
