instance,solution,execution_time
100_20_01,1826045,135.0291678905487
100_20_02,1842217,175.73337984085083
100_20_03,1723543,210.17326188087463
100_20_04,1988731,120.86090326309204
100_20_05,1575143,163.47081398963928
100_20_06,1696702,293.42033791542053
100_20_07,1819283,148.94144701957703
100_20_08,1782956,209.38956499099731
100_20_09,1878784,285.3195161819458
100_20_10,1696334,153.23728394508362
100_20_11,1864799,115.54686689376831
100_20_12,1722874,326.30304312705994
100_20_13,1754316,161.10883402824402
100_20_14,1739054,266.66691040992737
100_20_15,1481735,126.7879068851471
100_20_16,1887347,217.25866317749023
100_20_17,1828708,69.86007690429688
100_20_18,1854862,209.07051992416382
100_20_19,1729931,238.2703082561493
100_20_20,1843492,190.93150115013123
100_20_21,1749757,152.95156002044678
100_20_22,1768638,212.35705995559692
100_20_23,1818445,261.61366415023804
100_20_24,1738987,221.82601380348206
100_20_25,1757994,244.12888884544373
100_20_26,1596557,202.25846409797668
100_20_27,1901675,197.3919129371643
100_20_28,1769285,198.23591804504395
100_20_29,2031565,239.83606910705566
100_20_30,1800993,121.24981307983398
50_20_01,607386,8.90279507637024
50_20_02,631066,8.00130319595337
50_20_03,603315,10.742293119430542
50_20_04,681599,9.44496488571167
50_20_05,658600,21.770097970962524
50_20_06,653510,7.453896999359131
50_20_07,573545,10.486107110977173
50_20_08,542886,4.431909799575806
50_20_09,581720,12.840603113174438
50_20_10,607378,12.575093030929565
50_20_11,614085,7.2183122634887695
50_20_12,595915,10.584776878356934
50_20_13,558749,14.77438497543335
50_20_14,581814,8.837295293807983
50_20_15,603207,21.245251655578613
50_20_16,560015,10.901994943618774
50_20_17,654820,8.949987173080444
50_20_18,640985,10.703070878982544
50_20_19,478244,7.660621166229248
50_20_20,578731,7.0915350914001465
50_20_21,641953,3.6376047134399414
50_20_22,652400,15.456277847290039
50_20_23,610455,12.031546115875244
50_20_24,560656,10.85648798942566
50_20_25,607119,12.25304102897644
50_20_26,607166,5.586508750915527
50_20_27,573626,9.00713586807251
50_20_28,556349,7.549345016479492
50_20_29,553844,18.56463885307312
50_20_30,514125,11.876807928085327
