instance,solution,execution_time
100_20_01,1861380,2.3117661476135254
100_20_02,1872882,2.275660991668701
100_20_03,1754072,2.578929901123047
100_20_04,2020637,2.3765618801116943
100_20_05,1620783,2.4180908203125
100_20_06,1733575,2.317781686782837
100_20_07,1858524,2.368178129196167
100_20_08,1832647,2.3668038845062256
100_20_09,1942239,2.8751578330993652
100_20_10,1736909,2.203386068344116
100_20_11,1911880,2.3553547859191895
100_20_12,1771565,2.4044029712677
100_20_13,1781784,2.359661102294922
100_20_14,1786624,2.3070578575134277
100_20_15,1513447,2.2984559535980225
100_20_16,1931321,2.4592270851135254
100_20_17,1857456,2.2940151691436768
100_20_18,1917307,2.3360822200775146
100_20_19,1760403,2.1373119354248047
100_20_20,1874273,2.2477760314941406
100_20_21,1794948,2.448798894882202
100_20_22,1820415,2.3221349716186523
100_20_23,1870555,2.3696959018707275
100_20_24,1778055,2.33082914352417
100_20_25,1789791,2.2997400760650635
100_20_26,1647057,2.261577844619751
100_20_27,1960250,2.3226499557495117
100_20_28,1822294,2.2202908992767334
100_20_29,2086646,2.40771484375
100_20_30,1840390,2.1716020107269287
50_20_01,616002,0.28943824768066406
50_20_02,649396,0.3024420738220215
50_20_03,613349,0.28987884521484375
50_20_04,691920,0.3151857852935791
50_20_05,696543,0.3385500907897949
50_20_06,675913,0.3038499355316162
50_20_07,587808,0.31720709800720215
50_20_08,547398,0.28925204277038574
50_20_09,594279,0.30478620529174805
50_20_10,618765,0.3204212188720703
50_20_11,620124,0.3001279830932617
50_20_12,599970,0.29556918144226074
50_20_13,581879,0.31432175636291504
50_20_14,592690,0.34510302543640137
50_20_15,620641,0.3148369789123535
50_20_16,565937,0.3095707893371582
50_20_17,666391,0.30280399322509766
50_20_18,648133,0.310103178024292
50_20_19,480111,0.2942690849304199
50_20_20,584512,0.2956228256225586
50_20_21,644590,0.2890310287475586
50_20_22,671837,0.3762681484222412
50_20_23,622858,0.30582284927368164
50_20_24,572680,0.28940892219543457
50_20_25,612401,0.30933403968811035
50_20_26,622002,0.3352828025817871
50_20_27,581282,0.33791208267211914
50_20_28,565683,0.2958409786224365
50_20_29,572564,0.28740787506103516
50_20_30,528858,0.2867469787597656
