instance,solution,execution_time
100_20_01,1829234,455.46217608451843
100_20_02,1857316,308.7512278556824
100_20_03,1711526,477.6529541015625
100_20_04,1991466,380.75019431114197
100_20_05,1560933,475.8810029029846
100_20_06,1697451,344.4612121582031
100_20_07,1804156,383.4623763561249
100_20_08,1797986,398.23978877067566
100_20_09,1894102,339.4929690361023
100_20_10,1687601,451.8761999607086
100_20_11,1853378,388.6647889614105
100_20_12,1739072,324.0975890159607
100_20_13,1748526,355.5907769203186
100_20_14,1732931,527.3946049213409
100_20_15,1486179,350.64816093444824
100_20_16,1879835,398.6798448562622
100_20_17,1824442,375.16292095184326
100_20_18,1846132,367.77540707588196
100_20_19,1703426,404.4739270210266
100_20_20,1825434,336.9344160556793
100_20_21,1742341,291.1610460281372
100_20_22,1787835,342.4465980529785
100_20_23,1829758,388.4160511493683
100_20_24,1735996,400.09158205986023
100_20_25,1741132,357.23582696914673
100_20_26,1580384,492.46437907218933
100_20_27,1887536,381.7230999469757
100_20_28,1767578,400.7336571216583
100_20_29,2035362,363.34816312789917
100_20_30,1820629,473.9495360851288
50_20_01,608717,18.646311044692993
50_20_02,634642,21.95993399620056
50_20_03,599080,27.96535897254944
50_20_04,677521,18.48882269859314
50_20_05,670535,20.58681607246399
50_20_06,655939,20.305709838867188
50_20_07,580800,31.262799978256226
50_20_08,543981,14.682031869888306
50_20_09,581348,21.906172037124634
50_20_10,605956,26.84151315689087
50_20_11,614668,22.866173028945923
50_20_12,592219,27.248545169830322
50_20_13,557765,25.53465986251831
50_20_14,583139,18.85786485671997
50_20_15,604354,22.311206102371216
50_20_16,561954,16.132714986801147
50_20_17,654341,24.471508026123047
50_20_18,639020,23.36673903465271
50_20_19,472590,23.006296157836914
50_20_20,572949,25.550395011901855
50_20_21,629724,18.82279396057129
50_20_22,652854,21.717915296554565
50_20_23,617693,20.042367935180664
50_20_24,562335,19.496345281600952
50_20_25,597070,23.56381320953369
50_20_26,607719,19.5209219455719
50_20_27,573820,25.096275091171265
50_20_28,561861,28.485909938812256
50_20_29,552266,28.63777470588684
50_20_30,518099,22.014160871505737
