instance,solution,execution_time
100_20_01,1871339,794.1664519309998
100_20_02,1840143,768.8251779079437
100_20_03,1704434,1103.9976420402527
100_20_04,1985080,621.20410323143
100_20_05,1576384,729.2509758472443
100_20_06,1699260,865.1070351600647
100_20_07,1816181,1053.7749931812286
100_20_08,1792379,728.2254469394684
100_20_09,1876303,546.8845238685608
100_20_10,1692437,821.9247009754181
100_20_11,1862855,817.8455309867859
100_20_12,1738141,833.0330801010132
100_20_13,1788044,631.7849309444427
100_20_14,1736849,1211.988118171692
100_20_15,1472655,939.3866009712219
100_20_16,1885506,644.1630051136017
100_20_17,1842025,737.7937529087067
100_20_18,1872544,947.7871038913727
100_20_19,1749864,618.8503701686859
100_20_20,1848065,729.6465332508087
100_20_21,1749034,706.0477058887482
100_20_22,1786270,800.821760892868
100_20_23,1814578,926.0199661254883
100_20_24,1741018,893.9383549690247
100_20_25,1772831,736.0123460292816
100_20_26,1600818,803.0902338027954
100_20_27,1918011,948.5728170871735
100_20_28,1774770,764.974632024765
100_20_29,2050629,783.5864942073822
100_20_30,1846467,726.5189039707184
50_20_01,611088,40.936901807785034
50_20_02,635015,30.400874853134155
50_20_03,600027,52.042701721191406
50_20_04,679790,40.638752937316895
50_20_05,664049,45.04306411743164
50_20_06,655131,35.15087819099426
50_20_07,577385,41.0443058013916
50_20_08,542679,39.46189522743225
50_20_09,578062,39.82623624801636
50_20_10,612725,35.100362062454224
50_20_11,608861,33.39009618759155
50_20_12,587114,44.143625259399414
50_20_13,560461,28.965587377548218
50_20_14,590736,39.9034960269928
50_20_15,606316,35.33197903633118
50_20_16,556929,41.8402738571167
50_20_17,664140,32.03695011138916
50_20_18,641125,47.353893995285034
50_20_19,468314,44.51759195327759
50_20_20,573982,47.5260968208313
50_20_21,632201,44.89548301696777
50_20_22,653779,32.17342805862427
50_20_23,610830,29.978094816207886
50_20_24,556660,33.36560606956482
50_20_25,608338,35.50092601776123
50_20_26,611462,33.06818914413452
50_20_27,568998,40.412291049957275
50_20_28,557113,46.443755865097046
50_20_29,556065,42.96493911743164
50_20_30,517191,35.97967886924744
