instance,solution,execution_time
100_20_01,1837548,132.48006510734558
100_20_02,1846756,110.7242660522461
100_20_03,1703842,137.05237817764282
100_20_04,1991113,85.8000419139862
100_20_05,1579380,200.7219259738922
100_20_06,1698716,202.52646017074585
100_20_07,1826225,55.35135197639465
100_20_08,1790537,112.54594111442566
100_20_09,1888192,111.357182264328
100_20_10,1695634,91.37287902832031
100_20_11,1853048,247.12848567962646
100_20_12,1738649,137.36540389060974
100_20_13,1748427,87.94146776199341
100_20_14,1756222,209.85532879829407
100_20_15,1486949,96.17779779434204
100_20_16,1895673,85.8392539024353
100_20_17,1799917,149.8033962249756
100_20_18,1844328,162.7671811580658
100_20_19,1720955,94.88731408119202
100_20_20,1837053,165.38891220092773
100_20_21,1755418,116.52707886695862
100_20_22,1787088,111.3584930896759
100_20_23,1832403,102.82642602920532
100_20_24,1740272,103.64814305305481
100_20_25,1745247,103.78138709068298
100_20_26,1608862,136.11976790428162
100_20_27,1896130,215.08450388908386
100_20_28,1768458,132.19545531272888
100_20_29,2030898,128.49821209907532
100_20_30,1817086,133.30616402626038
50_20_01,610123,6.169296026229858
50_20_02,637781,8.836719036102295
50_20_03,598892,12.571200132369995
50_20_04,681538,10.02491807937622
50_20_05,664556,10.279497146606445
50_20_06,653805,7.1033101081848145
50_20_07,576714,23.512476205825806
50_20_08,538976,4.449833869934082
50_20_09,588535,6.385473012924194
50_20_10,610236,4.9050140380859375
50_20_11,611084,10.858031988143921
50_20_12,596247,10.084280967712402
50_20_13,562107,10.771137714385986
50_20_14,589191,5.427012205123901
50_20_15,603696,14.369839906692505
50_20_16,556564,11.860059976577759
50_20_17,660292,5.255897760391235
50_20_18,641005,10.066834926605225
50_20_19,477609,10.529232740402222
50_20_20,577395,7.004616022109985
50_20_21,630918,12.72015905380249
50_20_22,662505,7.972084045410156
50_20_23,610209,9.128117084503174
50_20_24,558823,13.326825857162476
50_20_25,600494,19.71118688583374
50_20_26,608184,5.520076751708984
50_20_27,575786,5.757760047912598
50_20_28,558687,13.687697887420654
50_20_29,551969,13.014563083648682
50_20_30,516630,8.694479942321777
